"Chromosome","Gene","Position","Strand","CX","PerMeth_S1","Meth_S1","UnMeth_S1","PerMeth_S2","Meth_S2","UnMeth_S2","PerMeth_S3","Meth_S3","UnMeth_S3","PerMeth_S4","Meth_S4","UnMeth_S4","NAs","Zeroth_pos","Zoom_co","Target_info"
"NC_003070.9","AT1G01640",221221,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11409,2,"T"
"NC_003070.9","AT1G01640",221222,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11408,2,"T"
"NC_003070.9","AT1G01640",221231,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11399,2,"T"
"NC_003070.9","AT1G01640",221235,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11395,2,"T"
"NC_003070.9","AT1G01640",221236,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11394,2,"T"
"NC_003070.9","AT1G01640",221241,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11389,2,"T"
"NC_003070.9","AT1G01640",221247,"+","CG",0,0,1,0,0,2,NA,0,0,0,0,1,3,11383,2,"T"
"NC_003070.9","AT1G01640",221248,"-","CG",0,0,12,0,0,12,NA,0,0,0,0,4,3,11382,2,"T"
"NC_003070.9","AT1G01640",221257,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11373,2,"T"
"NC_003070.9","AT1G01640",221259,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11371,2,"T"
"NC_003070.9","AT1G01640",221271,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11359,2,"T"
"NC_003070.9","AT1G01640",221278,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11352,2,"T"
"NC_003070.9","AT1G01640",221281,"+","CG",0,0,1,0,0,2,NA,0,0,0,0,1,3,11349,2,"T"
"NC_003070.9","AT1G01640",221282,"-","CG",0,0,12,0,0,12,NA,0,0,0,0,4,3,11348,2,"T"
"NC_003070.9","AT1G01640",221285,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11345,2,"T"
"NC_003070.9","AT1G01640",221288,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11342,2,"T"
"NC_003070.9","AT1G01640",221289,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11341,2,"T"
"NC_003070.9","AT1G01640",221292,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11338,2,"T"
"NC_003070.9","AT1G01640",221297,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11333,2,"T"
"NC_003070.9","AT1G01640",221301,"-","CHH",8,1,11,0,0,12,NA,0,0,0,0,4,3,11329,2,"T"
"NC_003070.9","AT1G01640",221303,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11327,2,"T"
"NC_003070.9","AT1G01640",221304,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11326,2,"T"
"NC_003070.9","AT1G01640",221312,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11318,2,"T"
"NC_003070.9","AT1G01640",221315,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,3,3,11315,2,"T"
"NC_003070.9","AT1G01640",221319,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11311,2,"T"
"NC_003070.9","AT1G01640",221323,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11307,2,"T"
"NC_003070.9","AT1G01640",221327,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11303,2,"T"
"NC_003070.9","AT1G01640",221330,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11300,2,"T"
"NC_003070.9","AT1G01640",221333,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11297,2,"T"
"NC_003070.9","AT1G01640",221335,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11295,2,"T"
"NC_003070.9","AT1G01640",221337,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11293,2,"T"
"NC_003070.9","AT1G01640",221342,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11288,2,"T"
"NC_003070.9","AT1G01640",221345,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11285,2,"T"
"NC_003070.9","AT1G01640",221346,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11284,2,"T"
"NC_003070.9","AT1G01640",221347,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11283,2,"T"
"NC_003070.9","AT1G01640",221350,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11280,2,"T"
"NC_003070.9","AT1G01640",221351,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11279,2,"T"
"NC_003070.9","AT1G01640",221366,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11264,2,"T"
"NC_003070.9","AT1G01640",221369,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,5,3,11261,2,"T"
"NC_003070.9","AT1G01640",221371,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,5,3,11259,2,"T"
"NC_003070.9","AT1G01640",221373,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,5,3,11257,2,"T"
"NC_003070.9","AT1G01640",221378,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,5,3,11252,2,"T"
"NC_003070.9","AT1G01640",221382,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11248,2,"T"
"NC_003070.9","AT1G01640",221384,"+","CG",0,0,1,0,0,2,NA,0,0,0,0,1,3,11246,2,"T"
"NC_003070.9","AT1G01640",221385,"-","CG",0,0,12,0,0,12,NA,0,0,0,0,5,3,11245,2,"T"
"NC_003070.9","AT1G01640",221387,"-","CHH",0,0,12,0,0,11,NA,0,0,0,0,4,3,11243,2,"T"
"NC_003070.9","AT1G01640",221392,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11238,2,"T"
"NC_003070.9","AT1G01640",221397,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11233,2,"T"
"NC_003070.9","AT1G01640",221398,"-","CHH",0,0,12,0,0,12,NA,0,0,0,0,4,3,11232,2,"T"
"NC_003070.9","AT1G01640",221402,"+","CHH",0,0,1,0,0,2,NA,0,0,0,0,1,3,11228,2,"T"
"NC_003070.9","AT1G01640",221405,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11225,2,"T"
"NC_003070.9","AT1G01640",221413,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11217,2,"T"
"NC_003070.9","AT1G01640",221416,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11214,2,"T"
"NC_003070.9","AT1G01640",221417,"+","CHG",0,0,1,33,1,2,NA,0,0,0,0,2,3,11213,2,"T"
"NC_003070.9","AT1G01640",221419,"-","CHG",0,0,11,0,0,12,NA,0,0,0,0,4,3,11211,2,"T"
"NC_003070.9","AT1G01640",221421,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11209,2,"T"
"NC_003070.9","AT1G01640",221422,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11208,2,"T"
"NC_003070.9","AT1G01640",221423,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11207,2,"T"
"NC_003070.9","AT1G01640",221426,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11204,2,"T"
"NC_003070.9","AT1G01640",221429,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11201,2,"T"
"NC_003070.9","AT1G01640",221432,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11198,2,"T"
"NC_003070.9","AT1G01640",221433,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11197,2,"T"
"NC_003070.9","AT1G01640",221435,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11195,2,"T"
"NC_003070.9","AT1G01640",221436,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11194,2,"T"
"NC_003070.9","AT1G01640",221442,"-","CHH",0,0,11,0,0,11,NA,0,0,0,0,4,3,11188,2,"T"
"NC_003070.9","AT1G01640",221445,"+","CG",0,0,1,0,0,2,NA,0,0,0,0,1,3,11185,2,"T"
"NC_003070.9","AT1G01640",221446,"-","CG",0,0,10,0,0,11,NA,0,0,0,0,3,3,11184,2,"T"
"NC_003070.9","AT1G01640",221450,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11180,2,"T"
"NC_003070.9","AT1G01640",221451,"+","CHG",0,0,1,0,0,3,NA,0,0,0,0,2,3,11179,2,"T"
"NC_003070.9","AT1G01640",221453,"-","CHG",0,0,11,0,0,12,NA,0,0,0,0,4,3,11177,2,"T"
"NC_003070.9","AT1G01640",221454,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11176,2,"T"
"NC_003070.9","AT1G01640",221457,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11173,2,"T"
"NC_003070.9","AT1G01640",221461,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11169,2,"T"
"NC_003070.9","AT1G01640",221462,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11168,2,"T"
"NC_003070.9","AT1G01640",221469,"-","CHH",0,0,11,0,0,11,NA,0,0,0,0,4,3,11161,2,"T"
"NC_003070.9","AT1G01640",221475,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11155,2,"T"
"NC_003070.9","AT1G01640",221476,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11154,2,"T"
"NC_003070.9","AT1G01640",221478,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11152,2,"T"
"NC_003070.9","AT1G01640",221482,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11148,2,"T"
"NC_003070.9","AT1G01640",221484,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11146,2,"T"
"NC_003070.9","AT1G01640",221486,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11144,2,"T"
"NC_003070.9","AT1G01640",221494,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11136,2,"T"
"NC_003070.9","AT1G01640",221498,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11132,2,"T"
"NC_003070.9","AT1G01640",221499,"+","CHG",0,0,1,0,0,3,NA,0,0,0,0,2,3,11131,2,"T"
"NC_003070.9","AT1G01640",221501,"-","CHG",0,0,11,0,0,12,NA,0,0,0,0,4,3,11129,2,"T"
"NC_003070.9","AT1G01640",221504,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11126,2,"T"
"NC_003070.9","AT1G01640",221509,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11121,2,"T"
"NC_003070.9","AT1G01640",221510,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11120,2,"T"
"NC_003070.9","AT1G01640",221516,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,1,3,11114,2,"T"
"NC_003070.9","AT1G01640",221518,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,1,3,11112,2,"T"
"NC_003070.9","AT1G01640",221522,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,3,3,11108,2,"T"
"NC_003070.9","AT1G01640",221528,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,3,3,11102,2,"T"
"NC_003070.9","AT1G01640",221531,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11099,2,"T"
"NC_003070.9","AT1G01640",221533,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11097,2,"T"
"NC_003070.9","AT1G01640",221535,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,4,3,11095,2,"T"
"NC_003070.9","AT1G01640",221538,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,3,3,11092,2,"T"
"NC_003070.9","AT1G01640",221539,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,3,3,11091,2,"T"
"NC_003070.9","AT1G01640",221540,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,3,3,11090,2,"T"
"NC_003070.9","AT1G01640",221546,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,3,3,11084,2,"T"
"NC_003070.9","AT1G01640",221552,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,5,3,11078,2,"T"
"NC_003070.9","AT1G01640",221556,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,3,3,11074,2,"T"
"NC_003070.9","AT1G01640",221557,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,3,3,11073,2,"T"
"NC_003070.9","AT1G01640",221563,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,3,3,11067,2,"T"
"NC_003070.9","AT1G01640",221571,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,3,3,11059,2,"T"
"NC_003070.9","AT1G01640",221573,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,3,3,11057,2,"T"
"NC_003070.9","AT1G01640",221575,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,3,3,11055,2,"T"
"NC_003070.9","AT1G01640",221576,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,3,3,11054,2,"T"
"NC_003070.9","AT1G01640",221578,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,3,3,11052,2,"T"
"NC_003070.9","AT1G01640",221581,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,5,3,11049,2,"T"
"NC_003070.9","AT1G01640",221582,"+","CHG",0,0,1,0,0,3,NA,0,0,0,0,3,3,11048,2,"T"
"NC_003070.9","AT1G01640",221584,"-","CHG",0,0,11,0,0,12,NA,0,0,0,0,5,3,11046,2,"T"
"NC_003070.9","AT1G01640",221587,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,5,3,11043,2,"T"
"NC_003070.9","AT1G01640",221591,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,5,3,11039,2,"T"
"NC_003070.9","AT1G01640",221594,"-","CHH",0,0,11,0,0,11,NA,0,0,0,0,5,3,11036,2,"T"
"NC_003070.9","AT1G01640",221597,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,5,3,11033,2,"T"
"NC_003070.9","AT1G01640",221600,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,5,3,11030,2,"T"
"NC_003070.9","AT1G01640",221603,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,5,3,11027,2,"T"
"NC_003070.9","AT1G01640",221606,"-","CHH",0,0,10,0,0,12,NA,0,0,0,0,5,3,11024,2,"T"
"NC_003070.9","AT1G01640",221610,"+","CHG",0,0,1,0,0,3,NA,0,0,0,0,2,3,11020,2,"T"
"NC_003070.9","AT1G01640",221611,"+","CG",0,0,1,0,0,2,NA,0,0,0,0,2,3,11019,2,"T"
"NC_003070.9","AT1G01640",221612,"-","CG",0,0,11,0,0,12,NA,0,0,0,0,5,3,11018,2,"T"
"NC_003070.9","AT1G01640",221614,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11016,2,"T"
"NC_003070.9","AT1G01640",221615,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11015,2,"T"
"NC_003070.9","AT1G01640",221616,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11014,2,"T"
"NC_003070.9","AT1G01640",221617,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11013,2,"T"
"NC_003070.9","AT1G01640",221620,"+","CG",0,0,1,0,0,3,NA,0,0,0,0,2,3,11010,2,"T"
"NC_003070.9","AT1G01640",221621,"-","CG",0,0,10,0,0,11,NA,0,0,0,0,5,3,11009,2,"T"
"NC_003070.9","AT1G01640",221622,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11008,2,"T"
"NC_003070.9","AT1G01640",221623,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,11007,2,"T"
"NC_003070.9","AT1G01640",221627,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,5,3,11003,2,"T"
"NC_003070.9","AT1G01640",221628,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,5,3,11002,2,"T"
"NC_003070.9","AT1G01640",221631,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,5,3,10999,2,"T"
"NC_003070.9","AT1G01640",221632,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,5,3,10998,2,"T"
"NC_003070.9","AT1G01640",221635,"+","CG",0,0,1,0,0,3,NA,0,0,0,0,2,3,10995,2,"T"
"NC_003070.9","AT1G01640",221636,"-","CG",0,0,10,0,0,11,NA,0,0,0,0,3,3,10994,2,"T"
"NC_003070.9","AT1G01640",221638,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,5,3,10992,2,"T"
"NC_003070.9","AT1G01640",221640,"+","CHG",0,0,1,0,0,3,NA,0,0,0,0,2,3,10990,2,"T"
"NC_003070.9","AT1G01640",221641,"+","CG",0,0,1,0,0,3,NA,0,0,0,0,2,3,10989,2,"T"
"NC_003070.9","AT1G01640",221642,"-","CG",0,0,10,0,0,12,NA,0,0,0,0,4,3,10988,2,"T"
"NC_003070.9","AT1G01640",221643,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,10987,2,"T"
"NC_003070.9","AT1G01640",221644,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,10986,2,"T"
"NC_003070.9","AT1G01640",221646,"+","CHG",0,0,1,0,0,3,NA,0,0,0,0,2,3,10984,2,"T"
"NC_003070.9","AT1G01640",221648,"-","CHG",9,1,10,0,0,12,NA,0,0,0,0,4,3,10982,2,"T"
"NC_003070.9","AT1G01640",221649,"+","CG",0,0,1,0,0,3,NA,0,0,0,0,2,3,10981,2,"T"
"NC_003070.9","AT1G01640",221650,"-","CG",11,1,8,0,0,11,NA,0,0,0,0,5,3,10980,2,"T"
"NC_003070.9","AT1G01640",221651,"-","CHG",0,0,11,0,0,12,NA,0,0,0,0,5,3,10979,2,"T"
"NC_003070.9","AT1G01640",221654,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,10976,2,"T"
"NC_003070.9","AT1G01640",221657,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,10973,2,"T"
"NC_003070.9","AT1G01640",221658,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,10972,2,"T"
"NC_003070.9","AT1G01640",221660,"+","CG",0,0,1,0,0,1,NA,0,0,0,0,2,3,10970,2,"T"
"NC_003070.9","AT1G01640",221661,"-","CG",0,0,11,0,0,11,NA,0,0,0,0,5,3,10969,2,"T"
"NC_003070.9","AT1G01640",221663,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,5,3,10967,2,"T"
"NC_003070.9","AT1G01640",221664,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,10966,2,"T"
"NC_003070.9","AT1G01640",221667,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,10963,2,"T"
"NC_003070.9","AT1G01640",221669,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,10961,2,"T"
"NC_003070.9","AT1G01640",221672,"+","CG",0,0,1,0,0,3,NA,0,0,0,0,2,3,10958,2,"T"
"NC_003070.9","AT1G01640",221673,"-","CG",0,0,11,0,0,12,NA,0,0,0,0,5,3,10957,2,"T"
"NC_003070.9","AT1G01640",221674,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,10956,2,"T"
"NC_003070.9","AT1G01640",221675,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,10955,2,"T"
"NC_003070.9","AT1G01640",221676,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,10954,2,"T"
"NC_003070.9","AT1G01640",221679,"+","CHH",0,0,1,0,0,3,NA,0,0,0,0,2,3,10951,2,"T"
"NC_003070.9","AT1G01640",221684,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,6,3,10946,2,"T"
"NC_003070.9","AT1G01640",221689,"-","CHH",0,0,10,0,0,11,NA,0,0,0,0,6,3,10941,2,"T"
"NC_003070.9","AT1G01640",221691,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,6,3,10939,2,"T"
"NC_003070.9","AT1G01640",221693,"+","CG",0,0,2,0,0,3,NA,0,0,0,0,2,3,10937,2,"T"
"NC_003070.9","AT1G01640",221694,"-","CG",0,0,11,0,0,11,NA,0,0,0,0,6,3,10936,2,"T"
"NC_003070.9","AT1G01640",221696,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,6,3,10934,2,"T"
"NC_003070.9","AT1G01640",221700,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,6,3,10930,2,"T"
"NC_003070.9","AT1G01640",221702,"-","CHH",0,0,11,0,0,12,NA,0,0,0,0,6,3,10928,2,"T"
"NC_003070.9","AT1G01640",221708,"+","CHH",0,0,2,0,0,3,NA,0,0,0,0,3,3,10922,2,"T"
"NC_003070.9","AT1G01640",221710,"+","CHH",0,0,2,0,0,3,NA,0,0,0,0,3,3,10920,2,"T"
