"Chromosome","Position","Strand","CX","PerMeth_S1","Meth_S1","UnMeth_S1","PerMeth_S2","Meth_S2","UnMeth_S2","PerMeth_S3","Meth_S3","UnMeth_S3","PerMeth_S4","Meth_S4","UnMeth_S4"
"NC_003070.9",220960,"+","CG",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",220961,"-","CG",0,0,10,0,0,12,0,0,1,0,0,5
"NC_003070.9",220966,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",220974,"+","CG",NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA
"NC_003070.9",220975,"-","CG",0,0,10,0,0,12,0,0,1,0,0,6
"NC_003070.9",220976,"-","CHG",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220977,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220979,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220982,"-","CHH",0,0,11,0,0,12,0,0,1,0,0,5
"NC_003070.9",220983,"+","CHG",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",220985,"-","CHG",0,0,10,0,0,13,0,0,1,0,0,6
"NC_003070.9",220987,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220988,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220994,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",220997,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220998,"-","CHH",0,0,11,0,0,13,0,0,1,0,0,6
"NC_003070.9",220999,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",221000,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",221004,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",221006,"+","CG",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",221007,"-","CG",0,0,11,0,0,12,0,0,1,0,0,6
"NC_003070.9",221009,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",221010,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",221011,"+","CHG",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",221013,"-","CHG",0,0,11,0,0,12,0,0,1,0,0,6
"NC_003070.9",221021,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",221027,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",221029,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",221037,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",221045,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",221046,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,0,0,1
"NC_003070.9",221051,"-","CHH",0,0,11,10,1,9,NA,NA,NA,33,2,4
"NC_003070.9",221056,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA
"NC_003070.9",221058,"+","CHH",NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA
"NC_003070.9",221061,"-","CHH",0,0,11,0,0,11,NA,NA,NA,0,0,6
"NC_003070.9",221074,"-","CHG",0,0,12,0,0,11,NA,NA,NA,0,0,6
"NC_003070.9",221078,"-","CHH",0,0,12,0,0,11,NA,NA,NA,0,0,6
"NC_003070.9",221087,"-","CHH",0,0,12,0,0,11,NA,NA,NA,0,0,6
"NC_003070.9",221096,"-","CHH",0,0,11,0,0,11,NA,NA,NA,0,0,5
"NC_003070.9",221102,"-","CHH",0,0,12,0,0,11,NA,NA,NA,0,0,5
"NC_003070.9",221106,"-","CHH",0,0,12,0,0,11,NA,NA,NA,0,0,5
"NC_003070.9",221119,"-","CHG",0,0,11,0,0,11,NA,NA,NA,0,0,5
"NC_003070.9",221122,"-","CG",10,1,9,0,0,10,NA,NA,NA,0,0,5
"NC_003070.9",221133,"-","CHH",8,1,11,0,0,11,NA,NA,NA,0,0,5
"NC_003070.9",221137,"-","CHH",0,0,12,0,0,11,NA,NA,NA,20,1,4
"NC_003070.9",221143,"-","CHH",0,0,12,0,0,10,NA,NA,NA,0,0,5
"NC_003070.9",221160,"-","CHH",0,0,12,0,0,11,NA,NA,NA,0,0,5
"NC_003070.9",221171,"-","CG",33,2,4,56,5,4,NA,NA,NA,33,1,2
"NC_003070.9",221172,"-","CHG",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221173,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221197,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221214,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221220,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221221,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221222,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221231,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221235,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221236,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221241,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221247,"+","CG",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221248,"-","CG",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221257,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221259,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221271,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221278,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221281,"+","CG",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221282,"-","CG",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221285,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221288,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221289,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221292,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221297,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221301,"-","CHH",8,1,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221303,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221304,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221312,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221315,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,3
"NC_003070.9",221319,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221323,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221327,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221330,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221333,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221335,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221337,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221342,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221345,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221346,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221347,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221350,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221351,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221366,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221369,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221371,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221373,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221378,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221382,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221384,"+","CG",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221385,"-","CG",0,0,12,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221387,"-","CHH",0,0,12,0,0,11,NA,NA,NA,0,0,4
"NC_003070.9",221392,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221397,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221398,"-","CHH",0,0,12,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221402,"+","CHH",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221405,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221413,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221416,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221417,"+","CHG",0,0,1,33,1,2,NA,NA,NA,0,0,2
"NC_003070.9",221419,"-","CHG",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221421,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221422,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221423,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221426,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221429,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221432,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221433,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221435,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221436,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221442,"-","CHH",0,0,11,0,0,11,NA,NA,NA,0,0,4
"NC_003070.9",221445,"+","CG",0,0,1,0,0,2,NA,NA,NA,0,0,1
"NC_003070.9",221446,"-","CG",0,0,10,0,0,11,NA,NA,NA,0,0,3
"NC_003070.9",221450,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221451,"+","CHG",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221453,"-","CHG",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221454,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221457,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221461,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221462,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221469,"-","CHH",0,0,11,0,0,11,NA,NA,NA,0,0,4
"NC_003070.9",221475,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221476,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221478,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221482,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221484,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221486,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221494,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221498,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221499,"+","CHG",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221501,"-","CHG",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221504,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221509,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221510,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221516,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,1
"NC_003070.9",221518,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,1
"NC_003070.9",221522,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,3
"NC_003070.9",221528,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221531,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221533,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221535,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221538,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221539,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221540,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221546,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221552,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221556,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221557,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221563,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221571,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221573,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221575,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221576,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221578,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221581,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221582,"+","CHG",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221584,"-","CHG",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221587,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221591,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221594,"-","CHH",0,0,11,0,0,11,NA,NA,NA,0,0,5
"NC_003070.9",221597,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221600,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221603,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221606,"-","CHH",0,0,10,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221610,"+","CHG",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221611,"+","CG",0,0,1,0,0,2,NA,NA,NA,0,0,2
"NC_003070.9",221612,"-","CG",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221614,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221615,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221616,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221617,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221620,"+","CG",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221621,"-","CG",0,0,10,0,0,11,NA,NA,NA,0,0,5
"NC_003070.9",221622,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221623,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221627,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221628,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221631,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221632,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221635,"+","CG",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221636,"-","CG",0,0,10,0,0,11,NA,NA,NA,0,0,3
"NC_003070.9",221638,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221640,"+","CHG",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221641,"+","CG",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221642,"-","CG",0,0,10,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221643,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221644,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221646,"+","CHG",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221648,"-","CHG",9,1,10,0,0,12,NA,NA,NA,0,0,4
"NC_003070.9",221649,"+","CG",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221650,"-","CG",11,1,8,0,0,11,NA,NA,NA,0,0,5
"NC_003070.9",221651,"-","CHG",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221654,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221657,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221658,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221660,"+","CG",0,0,1,0,0,1,NA,NA,NA,0,0,2
"NC_003070.9",221661,"-","CG",0,0,11,0,0,11,NA,NA,NA,0,0,5
"NC_003070.9",221663,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221664,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221667,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221669,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221672,"+","CG",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221673,"-","CG",0,0,11,0,0,12,NA,NA,NA,0,0,5
"NC_003070.9",221674,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221675,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221676,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221679,"+","CHH",0,0,1,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221684,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221689,"-","CHH",0,0,10,0,0,11,NA,NA,NA,0,0,6
"NC_003070.9",221691,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221693,"+","CG",0,0,2,0,0,3,NA,NA,NA,0,0,2
"NC_003070.9",221694,"-","CG",0,0,11,0,0,11,NA,NA,NA,0,0,6
"NC_003070.9",221696,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221700,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221702,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221708,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221710,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221714,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221719,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221728,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221731,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221732,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221734,"-","CHH",0,0,10,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221736,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221741,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221746,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221750,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221754,"-","CHH",0,0,11,0,0,11,NA,NA,NA,0,0,6
"NC_003070.9",221759,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221760,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221761,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221764,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221765,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221766,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221767,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221772,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221773,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221776,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221778,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221781,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221784,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221787,"+","CG",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221788,"-","CG",0,0,11,0,0,11,NA,NA,NA,0,0,6
"NC_003070.9",221791,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221795,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221799,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221804,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221807,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221811,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221817,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221818,"+","CHG",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221820,"-","CHG",0,0,10,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221822,"-","CHH",0,0,11,0,0,12,NA,NA,NA,0,0,6
"NC_003070.9",221823,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221829,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221832,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221837,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221843,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221844,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221846,"+","CG",0,0,1,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221847,"-","CG",0,0,11,0,0,11,NA,NA,NA,0,0,6
"NC_003070.9",221850,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221855,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
"NC_003070.9",221858,"-","CHH",0,0,10,0,0,10,NA,NA,NA,0,0,5
"NC_003070.9",221867,"+","CHH",0,0,2,0,0,3,NA,NA,NA,0,0,3
